Location,EV,Time_Period,Charging_Power,Energy,Electricity_Price,CO2_Factor,Electricity_Cost,CO2_Cost
i2,e1,49,50.0,12.5,0.261,0.15,3.2625,1.875
i2,e1,50,50.0,12.5,0.261,0.15,3.2625,1.875
i2,e1,51,50.0,12.5,0.261,0.15,3.2625,1.875
i2,e1,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i3,e10,49,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e10,50,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e10,51,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e10,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i3,e14,49,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e14,50,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e14,51,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e14,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i3,e18,49,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e18,50,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e18,51,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e18,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i3,e2,49,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e2,50,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e2,51,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e2,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i3,e6,49,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e6,50,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e6,51,50.0,12.5,0.261,0.15,3.2625,1.875
i3,e6,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i4,e11,69,50.0,12.5,0.627,0.16,7.8375,2.0
i4,e11,70,50.0,12.5,0.627,0.16,7.8375,2.0
i4,e11,71,50.0,12.5,0.627,0.16,7.8375,2.0
i4,e11,72,50.0,12.5,0.627,0.16,7.8375,2.0
i4,e11,73,50.0,12.5,0.627,0.16,7.8375,2.0
i4,e11,74,50.0,7.5,0.627,0.16,4.7025,1.2
i4,e15,49,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e15,50,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e15,51,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e15,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i4,e19,49,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e19,50,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e19,51,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e19,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i4,e3,49,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e3,50,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e3,51,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e3,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i4,e7,49,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e7,50,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e7,51,50.0,12.5,0.261,0.15,3.2625,1.875
i4,e7,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i5,e12,69,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,70,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,71,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,72,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,73,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,74,50.0,12.5,0.627,0.16,7.8375,2.0
i5,e12,75,50.0,5.0,0.627,0.16,3.135,0.8
i5,e16,49,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e16,50,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e16,51,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e16,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i5,e20,49,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e20,50,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e20,51,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e20,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i5,e4,49,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e4,50,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e4,51,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e4,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i5,e8,49,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e8,50,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e8,51,50.0,12.5,0.261,0.15,3.2625,1.875
i5,e8,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i6,e13,49,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e13,50,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e13,51,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e13,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i6,e17,49,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e17,50,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e17,51,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e17,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i6,e5,49,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e5,50,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e5,51,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e5,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
i6,e9,49,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e9,50,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e9,51,50.0,12.5,0.261,0.15,3.2625,1.875
i6,e9,52,50.0,2.5,0.261,0.15,0.6525000000000001,0.375
